FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LSTAR_rndWalk_MQ_SYM,LSTAR_rndWalk_MQ_RST,LSTAR_rndWalk_EQ_SYM,LSTAR_rndWalk_EQ_RST,LSTAR_rndWalk_TOTAL_SYM,LSTAR_rndWalk_TOTAL_RST,LSTAR_rndWalk_EQs,LSTAR_wp_MQ_SYM,LSTAR_wp_MQ_RST,LSTAR_wp_EQ_SYM,LSTAR_wp_EQ_RST,LSTAR_wp_TOTAL_SYM,LSTAR_wp_TOTAL_RST,LSTAR_wp_EQs,LIP_wp_rndWalk_MQ_SYM,LIP_wp_rndWalk_MQ_RST,LIP_wp_rndWalk_EQ_SYM,LIP_wp_rndWalk_EQ_RST,LIP_wp_rndWalk_TOTAL_SYM,LIP_wp_rndWalk_TOTAL_RST,LIP_wp_rndWalk_EQs,LIP_wp_rndWalk_COMPONENTS,LIP_wp_rndWalk_ROUNDS,LIP_wp_rndWords_MQ_SYM,LIP_wp_rndWords_MQ_RST,LIP_wp_rndWords_EQ_SYM,LIP_wp_rndWords_EQ_RST,LIP_wp_rndWords_TOTAL_SYM,LIP_wp_rndWords_TOTAL_RST,LIP_wp_rndWords_EQs,LIP_wp_rndWords_COMPONENTS,LIP_wp_rndWords_ROUNDS,LIP_rndWalk_rndWalk_MQ_SYM,LIP_rndWalk_rndWalk_MQ_RST,LIP_rndWalk_rndWalk_EQ_SYM,LIP_rndWalk_rndWalk_EQ_RST,LIP_rndWalk_rndWalk_TOTAL_SYM,LIP_rndWalk_rndWalk_TOTAL_RST,LIP_rndWalk_rndWalk_EQs,LIP_rndWalk_rndWalk_COMPONENTS,LIP_rndWalk_rndWalk_ROUNDS,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS,LIP_wp_wp_MQ_SYM,LIP_wp_wp_MQ_RST,LIP_wp_wp_EQ_SYM,LIP_wp_wp_EQ_RST,LIP_wp_wp_TOTAL_SYM,LIP_wp_wp_TOTAL_RST,LIP_wp_wp_EQs,LIP_wp_wp_COMPONENTS,LIP_wp_wp_ROUNDS,CACHE,
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_1.txt","6","5","480","155","10000","100","10480","255","1",,,,,,,,"480","155","10772","2132","11252","2287","1","102","42","13489","2155","13591","2197","11","2","4","102","42","40783","2315","40885","2357","11","2","4",,,,,,,,,,"123","46","40800","408","40923","454","11","2","4",,,,,,,,,,"true","6"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_2.txt","4","4","196","68","10000","100","10196","168","1",,,,,,,,"196","68","2671","552","2867","620","1","52","23","5090","598","5142","621","8","2","3","52","23","22899","712","22951","735","8","2","3",,,,,,,,,,"88","29","30600","306","30688","335","8","2","3",,,,,,,,,,"true","4"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_3.txt","4","4","196","68","10000","100","10196","168","1",,,,,,,,"196","68","2673","553","2869","621","1","54","24","4843","590","4897","614","8","2","3","54","24","22914","716","22968","740","8","2","3",,,,,,,,,,"60","24","30600","306","30660","330","8","2","3",,,,,,,,,,"true","4"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_4.txt","6","5","480","155","10000","100","10480","255","1",,,,,,,,"480","155","10771","2131","11251","2286","1","109","45","13745","2172","13854","2217","11","2","4","109","45","40770","2313","40879","2358","11","2","4",,,,,,,,,,"201","58","40800","408","41001","466","11","2","4",,,,,,,,,,"true","6"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_5.txt","18","10","6910","1810","10000","100","16910","1910","1",,,,,,,,"6910","1810","464357","79620","471267","81430","1","302","119","470933","79741","471235","79860","24","3","8","302","119","534113","80029","534415","80148","24","3","8",,,,,,,,,,"938","194","81700","817","82638","1011","24","3","8",,,,,,,,,,"true","18"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_6.txt","6","5","480","155","10000","100","10480","255","1",,,,,,,,"480","155","7922","1562","8402","1717","1","104","43","11256","1647","11360","1690","11","2","4","104","43","38198","1813","38302","1856","11","2","4",,,,,,,,,,"127","48","40800","408","40927","456","11","2","4",,,,,,,,,,"true","6"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_7.txt","39","14","2379056","51742","10800","108","2389856","51850","3",,,,,,,,"60940","9562","5265591","647695","5326531","657257","3","670819","31690","5352057","657909","6022876","689599","47","1","16","1374293","27815","5455126","657853","6829419","685668","40","2","13",,,,,,,,,,"3433757","66653","134300","1343","3568057","67996","45","2","13",,,,,,,,,,"true","39"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_8.txt","18","10","6910","1810","10000","100","16910","1910","1",,,,,,,,"6910","1810","431613","74201","438523","76011","1","308","122","438065","74266","438373","74388","24","3","8","308","122","501278","74579","501586","74701","24","3","8",,,,,,,,,,"695","172","81700","817","82395","989","24","3","8",,,,,,,,,,"true","18"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_9.txt","26","13","2055642","42861","10700","107","2066342","42968","3",,,,,,,,"36888","5805","2086211","266240","2123099","272045","3","297837","16308","2191282","278516","2489119","294824","39","2","12","1883232","37142","2288965","278792","4172197","315934","38","2","12",,,,,,,,,,"3675326","71525","125500","1255","3800826","72780","44","2","12",,,,,,,,,,"true","26"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_10.txt","12","9","3573","981","10000","100","13573","1081","1",,,,,,,,"3573","981","117792","21123","121365","22104","1","543","192","124678","21324","125221","21516","23","2","8","543","192","187929","21637","188472","21829","23","2","8",,,,,,,,,,"3983","330","81800","818","85783","1148","23","2","8",,,,,,,,,,"true","12"
