,File_Name,#states,#Inputs,L*_MQ_(symbols),L*_MQ_resets,L*_EQ_(symbols),L*_EQ_resets,L*_total_symbols,L*_total_resets,L*_EQ,L*_#states,LIP_MQ_symbols,LIP_MQ_resets,LIP_EQ_symbols,LIP_EQ_resets,LIP_total_symbols,LIP_total_resets,LIP_EQs,LIP_#states,LIP_Rounds,#components,eq_method,cache,eq_symbols_progress,mq_symbols_progress,total_reset_progress,total_symbol_progress,eq_reset_progress
0,2wise_16.txt,117,19,,,,,,,,,4926486,94693,39813746,4629201,44740232,4723894,62,117,3,17,rndWords,True,,,,,
1,2wise_16.txt,117,19,,,,,,,,,3197001,62092,40434266,4700115,43631267,4762207,57,117,3,17,rndWords,True,,,,,
2,2wise_16.txt,117,19,,,,,,,,,2736326,53441,49520078,5581411,52256404,5634852,55,117,3,17,rndWords,True,,,,,
3,2wise_1.txt,6,5,,,,,,,,,112,46,38141,1798,38253,1844,11,6,2,4,rndWords,True,,,,,
4,2wise_1.txt,6,5,,,,,,,,,112,46,38185,1809,38297,1855,11,6,2,4,rndWords,True,,,,,
5,2wise_1.txt,6,5,,,,,,,,,102,42,38205,1812,38307,1854,11,6,2,4,rndWords,True,,,,,
6,2wise_1.txt,6,5,,,,,,,,,107,44,38167,1806,38274,1850,11,6,2,4,rndWords,True,,,,,
7,2wise_2.txt,4,4,,,,,,,,,49,22,22924,721,22973,743,8,4,2,3,rndWords,True,,,,,
8,2wise_2.txt,4,4,,,,,,,,,49,22,22917,719,22966,741,8,4,2,3,rndWords,True,,,,,
9,2wise_2.txt,4,4,,,,,,,,,49,22,22902,714,22951,736,8,4,2,3,rndWords,True,,,,,
10,2wise_2.txt,4,4,,,,,,,,,49,22,22907,714,22956,736,8,4,2,3,rndWords,True,,,,,
11,2wise_3.txt,4,4,,,,,,,,,44,20,22932,723,22976,743,8,4,2,3,rndWords,True,,,,,
12,2wise_3.txt,4,4,,,,,,,,,44,20,22918,719,22962,739,8,4,2,3,rndWords,True,,,,,
13,2wise_3.txt,4,4,,,,,,,,,44,20,22913,717,22957,737,8,4,2,3,rndWords,True,,,,,
14,2wise_3.txt,4,4,,,,,,,,,54,24,22918,719,22972,743,8,4,2,3,rndWords,True,,,,,
