,File_Name,states,inputs,components,lstar_total_sym_mean,lstar_total_sym_std,lip_total_sym_mean,lip_total_sym_std,total_sym_progress,total_sym_pvalue,lstar_total_reset_mean,lstar_total_reset_std,lip_total_reset_mean,lip_total_reset_std,total_reset_progress,total_reset_pvalue,lstar_mq_sym_mean,lstar_mq_sym_std,lip_mq_sym_mean,lip_mq_sym_std,mq_sym_progress,mq_sym_pvalue,lstar_mq_reset_mean,lstar_mq_reset_std,lip_mq_reset_mean,lip_mq_reset_std,mq_reset_progress,mq_reset_pvalue,lstar_eq_sym_mean,lstar_eq_sym_std,lip_eq_sym_mean,lip_eq_sym_std,eq_sym_progress,eq_sym_pvalue,lstar_eq_reset_mean,lstar_eq_reset_std,lip_eq_reset_mean,lip_eq_reset_std,eq_reset_progress,eq_reset_pvalue,lstar_eqs,lip_eqs
0,2wise_1.txt,6,5,4,524.667,2.828,307.111,24.234,0.415,2.546220144216668e-35,169.972,1.54,96.833,6.167,0.43,2.1346256442876188e-38,480.0,0.0,106.639,8.377,0.778,7.803438930810891e-60,155.0,0.0,43.25,2.666,0.721,6.661631764934618e-59,44.667,2.828,200.472,21.627,-3.488,1.0,14.972,1.54,53.583,5.474,-2.579,1.0,1.0,10.944
1,2wise_10.txt,12,9,8,3621.167,1.416,658.633,199.32,0.818,4.316763662342967e-36,997.5,1.697,209.567,60.752,0.79,2.039138888239576e-34,3573.0,0.0,307.333,137.054,0.914,5.0903669202335675e-42,981.0,0.0,112.533,43.774,0.885,1.0210460862204422e-39,48.167,1.416,351.3,67.696,-6.293,1.0,16.5,1.697,97.033,18.561,-4.881,1.0,1.0,18.8
2,2wise_11.txt,4,4,3,237.967,4.287,211.967,22.394,0.109,6.160195753340686e-07,81.533,1.383,64.0,4.639,0.215,1.2436140054341523e-18,196.0,0.0,56.133,13.638,0.714,1.898160840033362e-31,68.0,0.0,23.4,2.787,0.656,5.084937695017746e-37,41.967,4.287,155.833,16.781,-2.713,1.0,13.533,1.383,40.6,3.71,-2.0,1.0,1.0,8.0
3,2wise_12.txt,8,8,6,1847.467,2.529,463.333,162.067,0.749,3.4379229286336563e-29,536.2,1.71,146.133,49.429,0.727,3.5211521078903825e-28,1800.0,0.0,193.633,112.766,0.892,1.4696854647298329e-35,520.0,0.0,72.433,35.423,0.861,4.6792332444443444e-34,47.467,2.529,269.7,54.991,-4.682,1.0,16.2,1.71,73.7,15.691,-3.549,1.0,1.0,14.333
4,2wise_13.txt,4,4,3,238.7,3.65,202.167,27.562,0.153,1.70708658801689e-08,81.233,1.716,62.467,7.176,0.231,5.209520658884411e-15,196.0,0.0,55.233,11.206,0.718,5.525003661930321e-34,68.0,0.0,23.567,3.39,0.653,1.630493834376152e-34,42.7,3.65,146.933,20.065,-2.441,1.0,13.233,1.716,38.9,4.536,-1.94,1.0,1.0,7.867
5,2wise_14.txt,4,4,3,238.2,3.326,201.833,19.012,0.153,2.1537669942846456e-11,81.867,1.548,62.033,4.781,0.242,3.5398085219179267e-19,196.0,0.0,50.567,6.224,0.742,8.958547086249211e-42,68.0,0.0,22.2,2.024,0.674,2.2696313776406566e-41,42.2,3.326,151.267,18.851,-2.585,1.0,13.867,1.548,39.833,4.395,-1.873,1.0,1.0,7.867
6,2wise_15.txt,26,13,5,20510.7,1.705,347.9,105.549,0.983,3.1631348652781683e-68,3748.167,1.744,112.967,30.395,0.97,4.0475488435229406e-62,20462.0,0.0,88.4,57.055,0.996,4.187987662002866e-76,3731.0,0.0,41.8,17.582,0.989,2.0815213503448964e-69,48.7,1.705,259.5,53.194,-4.329,1.0,17.167,1.744,71.167,13.799,-3.146,1.0,1.0,15.133
7,2wise_16.txt,117,19,8,226415.3,0.988,587.067,194.948,0.997,6.575411772639965e-91,35775.733,2.083,193.6,61.077,0.995,2.958149830141814e-82,226366.0,0.0,177.067,99.759,0.999,2.1997675721012186e-99,35758.0,0.0,79.7,33.862,0.998,9.871848012761703e-90,49.3,0.988,410.0,100.02,-7.316,1.0,17.733,2.083,113.9,28.993,-5.423,1.0,1.0,24.4
8,2wise_17.txt,16,11,3,10950.067,1.202,287.8,70.342,0.974,2.5247372979494553e-65,1963.567,1.654,95.067,20.118,0.952,5.9122321902424e-59,10901.0,0.0,66.833,32.232,0.994,2.4193122602071284e-75,1947.0,0.0,33.133,10.602,0.983,1.6319811799189008e-67,49.067,1.202,220.967,40.853,-3.503,1.0,16.567,1.654,61.933,10.744,-2.738,1.0,1.0,12.667
9,2wise_18.txt,4,4,3,239.5,3.432,207.2,24.882,0.135,4.957310433595478e-08,82.2,1.972,63.6,4.98,0.226,6.104581549197252e-18,196.0,0.0,56.233,14.769,0.713,1.9112755612340742e-30,68.0,0.0,23.433,3.339,0.655,9.63858428717554e-35,43.5,3.432,150.967,17.349,-2.47,1.0,14.2,1.972,40.167,3.611,-1.829,1.0,1.0,7.933
10,2wise_19.txt,6,5,4,524.067,3.571,305.667,22.955,0.417,1.1427675419004133e-30,169.833,1.487,96.1,5.95,0.434,2.3261697672589327e-33,480.0,0.0,109.333,13.664,0.772,1.1911786460413664e-43,155.0,0.0,43.433,3.104,0.72,3.4212463099137487e-47,44.067,3.571,196.333,21.5,-3.455,1.0,14.833,1.487,52.667,5.498,-2.551,1.0,1.0,10.867
11,2wise_2.txt,4,4,3,238.914,4.068,201.2,27.141,0.158,1.0288797757864442e-09,81.686,1.694,61.714,7.242,0.244,1.6953061287145353e-17,196.0,0.0,52.286,10.498,0.733,8.782449420318042e-41,68.0,0.0,22.543,3.23,0.668,3.4401303589424194e-41,42.914,4.068,148.914,20.961,-2.47,1.0,13.686,1.694,39.171,5.026,-1.862,1.0,1.0,7.886
12,2wise_20.txt,27,11,9,13127.3,1.725,731.433,150.823,0.944,1.3430392619025637e-57,3294.4,2.061,235.8,48.82,0.928,2.2519468016304174e-54,13079.0,0.0,295.0,84.205,0.977,2.4756438633941012e-65,3278.0,0.0,115.133,30.112,0.965,1.0792024282447269e-60,48.3,1.725,436.433,69.942,-8.036,1.0,16.4,2.061,120.667,19.686,-6.358,1.0,1.0,23.533
13,2wise_3.txt,4,4,3,238.633,4.106,198.067,23.162,0.17,2.804237435095096e-10,81.133,1.655,61.367,5.702,0.244,6.549697403121283e-18,196.0,0.0,54.233,9.228,0.723,1.6582222700959548e-36,68.0,0.0,23.033,2.684,0.661,1.361566010630145e-37,42.633,4.106,143.833,18.505,-2.374,1.0,13.133,1.655,38.333,4.405,-1.919,1.0,1.0,7.933
14,2wise_4.txt,6,5,4,525.267,3.028,308.367,25.792,0.413,2.335359091030265e-28,169.867,1.776,96.833,6.428,0.43,1.7708671653306132e-32,480.0,0.0,107.633,10.401,0.776,3.8402203030094486e-47,155.0,0.0,43.2,3.156,0.721,5.210325502994403e-47,45.267,3.028,200.733,19.46,-3.434,1.0,14.867,1.776,53.633,4.552,-2.608,1.0,1.0,10.8
15,2wise_5.txt,18,10,8,6957.967,1.81,657.067,122.404,0.906,1.0757220335756326e-51,1826.367,1.866,213.233,37.023,0.883,1.6769837468507643e-49,6910.0,0.0,260.367,65.528,0.962,2.9317136827668014e-60,1810.0,0.0,102.2,22.982,0.944,2.459836950061442e-56,47.967,1.81,396.7,62.656,-7.27,1.0,16.367,1.866,111.033,15.712,-5.784,1.0,1.0,21.067
16,2wise_6.txt,6,5,4,524.333,3.818,303.133,30.16,0.422,1.38539615057484e-27,169.233,1.775,95.467,8.776,0.436,7.2308954194350945e-28,480.0,0.0,109.167,16.265,0.773,1.826056752957443e-41,155.0,0.0,43.4,4.746,0.72,7.46402344152961e-42,44.333,3.818,193.967,20.97,-3.375,1.0,14.233,1.775,52.067,5.735,-2.658,1.0,1.0,10.8
17,2wise_7.txt,39,14,6,36715.367,0.89,456.233,164.522,0.988,5.081105929836703e-70,6498.833,1.84,148.3,50.101,0.977,4.2462930033676704e-63,36666.0,0.0,137.867,84.96,0.996,1.9209729347995538e-78,6482.0,0.0,59.767,27.204,0.991,6.8192968702121725e-71,49.367,0.89,318.367,82.697,-5.449,1.0,16.833,1.84,88.533,23.942,-4.259,0.9999999999999998,1.0,18.0
18,2wise_8.txt,18,10,8,6958.7,1.236,606.9,144.852,0.913,1.0469809321107548e-49,1826.4,1.589,195.3,46.531,0.893,8.448142335389139e-47,6910.0,0.0,228.667,72.903,0.967,5.628188575286342e-59,1810.0,0.0,91.333,27.104,0.95,2.446642636324117e-54,48.7,1.236,378.233,76.349,-6.767,1.0,16.4,1.589,103.967,20.621,-5.339,1.0,1.0,19.933
19,2wise_9.txt,26,13,5,20510.6,1.38,365.167,118.045,0.982,8.1960360115754e-67,3747.733,1.574,116.467,34.026,0.969,4.8192025405158156e-61,20462.0,0.0,91.1,63.761,0.996,1.0549610668538472e-74,3731.0,0.0,42.567,18.77,0.989,1.3949419162515813e-68,48.6,1.38,274.067,59.735,-4.639,1.0,16.733,1.574,73.9,16.622,-3.416,1.0,1.0,15.333
20,3wise_1.txt,28,12,5,23100.833,1.416,373.967,129.341,0.984,3.507426667484026e-67,4060.767,1.775,120.567,38.516,0.97,4.032179807627798e-60,23052.0,0.0,107.233,70.747,0.995,6.824342341899346e-75,4044.0,0.0,47.033,21.974,0.988,1.3108022479174247e-67,48.833,1.416,266.733,62.697,-4.462,1.0,16.767,1.775,73.533,17.826,-3.386,0.9999999999999999,1.0,14.933
21,3wise_10.txt,8,6,4,1060.2,2.295,292.567,44.444,0.724,4.313997340019525e-38,308.833,2.167,90.733,11.674,0.706,8.470376199845336e-39,1014.0,0.0,84.967,27.45,0.916,1.9587813570735795e-46,294.0,0.0,35.0,7.724,0.881,2.561229024288277e-46,46.2,2.295,207.6,26.532,-3.494,1.0,14.833,2.167,55.733,6.475,-2.757,1.0,1.0,11.2
22,3wise_11.txt,32,13,4,33185.633,1.608,340.4,82.164,0.99,1.4765656838674372e-77,5437.367,1.45,110.4,24.456,0.98,4.330255732796242e-70,33137.0,0.0,80.233,34.666,0.998,1.7822898118809202e-88,5421.0,0.0,39.733,10.537,0.993,1.3052256038502598e-80,48.633,1.608,260.167,52.017,-4.35,1.0,16.367,1.45,70.667,15.278,-3.318,1.0,1.0,15.2
23,3wise_12.txt,78,16,5,104257.267,1.337,426.367,130.443,0.996,3.5206539238823636e-86,16928.833,1.533,140.333,40.123,0.992,2.5674241073565772e-78,104208.0,0.0,115.433,61.82,0.999,1.2303570528898287e-95,16912.0,0.0,55.1,21.114,0.997,3.0810042204936915e-86,49.267,1.337,310.933,70.203,-5.311,1.0,16.833,1.533,85.233,19.755,-4.063,1.0,1.0,18.933
24,3wise_13.txt,36,12,8,22524.9,1.398,632.767,131.616,0.972,1.819819306156976e-66,5212.833,1.84,202.833,40.469,0.961,7.862818911454888e-63,22476.0,0.0,218.567,68.928,0.99,7.745447480121747e-75,5196.0,0.0,89.533,24.068,0.983,1.5096245730355347e-69,48.9,1.398,414.2,71.049,-7.47,1.0,16.833,1.84,113.3,19.13,-5.731,1.0,1.0,22.133
25,3wise_14.txt,8,5,4,749.767,3.002,337.333,57.297,0.55,3.490824135054868e-27,219.2,1.54,104.1,15.343,0.525,8.587189200541995e-28,705.0,0.0,138.767,35.999,0.803,8.398080215037713e-37,205.0,0.0,50.3,10.764,0.755,1.1389803519239968e-35,44.767,3.002,198.567,27.727,-3.436,1.0,14.2,1.54,53.8,6.531,-2.789,1.0,1.0,10.667
26,3wise_15.txt,12,7,5,2209.567,2.487,389.5,57.972,0.824,2.6972343427024932e-45,610.967,1.586,124.667,16.52,0.796,1.4079769059283722e-44,2163.0,0.0,129.6,25.946,0.94,5.263545620869341e-57,595.0,0.0,52.833,8.461,0.911,1.806032696646e-54,46.567,2.487,259.9,37.076,-4.581,1.0,15.967,1.586,71.833,9.664,-3.499,1.0,1.0,13.933
