,File_Name,states,inputs,components,lstar_total_sym_mean,lstar_total_sym_std,lip_total_sym_mean,lip_total_sym_std,total_sym_progress,total_sym_pvalue,lstar_total_reset_mean,lstar_total_reset_std,lip_total_reset_mean,lip_total_reset_std,total_reset_progress,total_reset_pvalue,lstar_mq_sym_mean,lstar_mq_sym_std,lip_mq_sym_mean,lip_mq_sym_std,mq_sym_progress,mq_sym_pvalue,lstar_mq_reset_mean,lstar_mq_reset_std,lip_mq_reset_mean,lip_mq_reset_std,mq_reset_progress,mq_reset_pvalue,lstar_eq_sym_mean,lstar_eq_sym_std,lip_eq_sym_mean,lip_eq_sym_std,eq_sym_progress,eq_sym_pvalue,lstar_eq_reset_mean,lstar_eq_reset_std,lip_eq_reset_mean,lip_eq_reset_std,eq_reset_progress,eq_reset_pvalue,lstar_eqs,lip_eqs
0,2wise_1.txt,6,5,4,,,38282.75,24.171,,,,,1850.75,4.992,,,,,108.25,4.787,,,,,44.5,1.915,,,,,38174.5,27.197,,,,,1806.25,6.021,,,,11.0
1,2wise_10.txt,12,9,8,,,231297.5,24515.294,,,,,29283.25,4151.662,,,,,534.5,5.916,,,,,188.5,2.38,,,,,230763.0,24518.47,,,,,29094.75,4153.183,,,,23.0
2,2wise_11.txt,4,4,3,,,22967.0,11.045,,,,,740.75,3.202,,,,,50.0,1.155,,,,,22.5,0.577,,,,,22917.0,10.231,,,,,718.25,2.872,,,,8.0
3,2wise_12.txt,8,8,7,,,124311.5,8260.412,,,,,12334.5,1491.657,,,,,478.75,3.403,,,,,166.75,1.258,,,,,123832.75,8259.499,,,,,12167.75,1491.415,,,,20.0
4,2wise_13.txt,4,4,3,,,22974.5,5.972,,,,,743.25,2.062,,,,,44.0,0.0,,,,,20.0,0.0,,,,,22930.5,5.972,,,,,723.25,2.062,,,,8.0
5,2wise_14.txt,4,4,3,,,22976.75,5.679,,,,,743.75,1.893,,,,,52.5,1.0,,,,,23.25,0.5,,,,,22924.25,6.602,,,,,720.5,2.38,,,,8.0
6,2wise_15.txt,26,13,12,,,4723682.5,1011780.15,,,,,314866.0,27067.395,,,,,2505716.5,949662.974,,,,,48942.0,17828.355,,,,,2217966.0,124611.862,,,,,265924.0,15269.843,,,,39.25
7,2wise_16.txt,117,19,17,,,46875967.667,4692469.733,,,,,5040317.667,515238.078,,,,,3619937.667,1154710.689,,,,,70075.333,21753.898,,,,,43256030.0,5433689.748,,,,,4970242.333,530473.895,,,,58.0
8,2wise_17.txt,16,11,10,,,711352.25,106570.511,,,,,84353.75,11676.852,,,,,3426.75,94.919,,,,,681.0,13.392,,,,,707925.5,106606.186,,,,,83672.75,11682.022,,,,29.0
9,2wise_18.txt,4,4,3,,,22961.0,7.071,,,,,739.0,2.16,,,,,44.0,0.0,,,,,20.0,0.0,,,,,22917.0,7.071,,,,,719.0,2.16,,,,8.0
